membership:sample_set_id	sample
ALL	194eef14-ef9c-4b53-8729-1984b80ea72a
ALL	f8772103-ebc5-4ef7-88b9-58b974c551d0
ALL	f3770de1-0b4f-4815-9298-936bf8e09f99
ALL	87817041-278c-41d8-9c27-bac80d299903
ALL	59b94440-3f8d-4b23-b8da-4859a3707717
ALL	c6a08306-7e4b-4fda-a233-8d4be1a79c83
ALL	b89641cf-3297-4b95-8d6a-bf9a56d99c26
ALL	ca58399b-994e-4094-bb12-e80372e6db53
ALL	4f5f3827-60c0-4f70-b81c-57b7c0d4fc5e
ALL	c5f663bd-dbad-469c-a6ff-7e899fe68d50
ALL	aa964b0b-a7db-434a-9ade-a264a3068801
ALL	b711d5ff-70d5-4c8b-b9c6-7cf6a07d5b7f
ALL	652ae0ec-8fc4-465e-9a31-a171304c71fb
ALL	8bfcdbef-692a-4ca8-bfdc-afe7ae85acff
ALL	f90c3768-bb4f-4769-8bda-457e995e6bd2
ALL	c57c5a20-eae2-43c7-95ed-fbc357009106
ALL	590f0838-855e-4a09-bbf7-67eae1cedafe
ALL	2e7eec3f-c9c4-42c2-8b3d-296d916a2842
ALL	5c4ba77d-d7f4-4d66-b9a9-875167a063ae
ALL	cd4cea0c-dd48-4585-8841-8d9be38fc700
ALL	074a1516-3adc-41d0-84cb-2a5b13c44469
ALL	15e8851a-ea08-4cf5-84a3-86fd47b60258
ALL	40f7ca9e-0a4e-4af7-b00a-ffa1ef56ea29
ALL	f83d5d1d-9f5a-4e29-9b60-6631b7201896
ALL	a8c931e0-672e-48be-af0b-e1b71679d603
ALL	6b8f06e5-5c3e-4e5b-a384-99f45d620e36
ALL	651bf40b-94b9-4de6-a31f-bf21ee76f5b6
ALL	58af038c-bd40-4123-a6d3-11061f0d38e1
ALL	fb5563ca-fc5a-41e3-86a8-7c23c64794ed
ALL	5e47a5d6-c797-427b-8d9a-c3af999f4b77
ALL	a381de9e-db11-4b9a-abc2-c14163f8593b
ALL	177c3479-a6e5-4e0c-8b0a-2c2e46735263
ALL	df38504c-e5ae-4833-920f-0e6f2bfba10c
ALL	50a1497e-4b5f-449f-a507-06883179a7d1
ALL	9278f8d0-55d7-4497-b1ba-1b5082cbc72d
ALL	c12d5a79-5d7e-4fd8-919c-f11441d03093
ALL	76de3814-4e41-4b28-bc9d-e3bdf1f64b34
ALL	91632583-292f-4c39-9bc3-702b5ae6f8fe
ALL	a21b0170-9c95-40f3-bef5-b6f01293cda9
ALL	24fc344c-4327-40c1-92bc-ea2c9917a3a8
ALL	3530cc47-0486-4b38-bf9b-1fba96d5963f
ALL	d7d4756c-22a5-457c-a76c-1630cae874ba
ALL	c637ef00-1140-435c-92ff-7b2a123cfaf9
ALL	c0bbe492-67d0-4b18-af37-91ad1e4a8dc5
ALL	d9005f92-dbd9-4a6c-a230-0cfc673e0233
ALL	eba3e660-2d59-4604-87f9-f4985c51ce55
ALL	ecf37318-9dc0-4e2b-84d6-7ce75070c6be
ALL	3a922f2e-0a7b-4626-a66c-fcef5891872f
ALL	0874982d-929b-433c-b5f6-76df7ea2abf0
ALL	e6e7ecae-2ad6-414c-86c0-f4f27709d4fe
ALL	bee4c5be-7092-4e2b-9522-6ccc0465781e
